amenity,lat,lon,name
bar,49.2821955,-123.1024011,Back and Forth Bar
bar,49.284169,-123.1073434,131 Water Kitchen & Bar
bar,49.2821452,-123.0762115,Callister Tasting Room
bar,49.2833626,-123.0757512,Powell Brewery Tasting Room
bar,49.268662,-123.10451,Faculty Brewing
bar,49.1556713,-123.1248972,Legends Pub
bar,49.2031688,-122.908271,Judge Begbies
bar,49.2017326,-122.9124591,Hops
bar,49.3063936,-123.0115775,Deep Cove Brewers and Distillers Lounge
bar,49.2769121,-123.0805868,Luppolo Tasting Room
bar,49.1622956,-122.6548929,Walnut Grove Pub & Liqour Store
bar,49.2777606,-123.0760415,Off The Rail Tasting Room
bar,49.2774745,-123.0745168,Bomber Tasting Room
bar,49.2256833,-122.999253,Little Monk Pretzels
bar,49.2293669,-123.0041555,
bar,49.2288579,-123.0046703,Tea Plus
bar,49.2290169,-123.0048975,The Juice Corner
bar,49.2286323,-123.0047034,Paradise Juice
bar,49.228507,-123.0049496,Cherry Tea & Icy Bar
bar,49.2287034,-123.0044511,Ginseng Spirit
bar,49.2289043,-123.0052233,Shiny Tea
bar,49.2262262,-123.0019735,Jugo Juice
bar,49.2255829,-122.9983657,Kernels
bar,49.2287893,-123.0046579,Eggstatic
bar,49.2275513,-122.8363525,Fuel Cafe'
bar,49.2802068,-123.1068483,Shiny Tea
bar,49.1293757,-123.0952983,Fuggles & Warlock Tasting Room
bar,49.2756868,-123.1281101,Cecil Bar
bar,49.2741305,-123.124112,Soho
bar,49.2753903,-123.1216407,Yaletown Distilling Company
bar,49.2752508,-123.1212681,The Distillery Bar
bar,49.2023823,-122.9089811,Paramount Gentlemen's Club
bar,49.2832515,-123.105379,Gringo
bar,49.1812101,-123.1370111,Millennium Karaoke
bar,49.2733358,-123.1195188,The Wine Bar
bar,49.0896971,-123.0421766,Sundance Pub
bar,49.1947944,-123.1820219,Maple Leaf Lounge
bar,49.1944125,-123.1818168,Plaza Premium Lounge
bar,49.1862792,-122.9565359,Red Bar
bar,49.2192031,-122.969743,Hookah Lounge
bar,49.1860857,-122.8479254,Big Orange
bar,49.1899697,-122.8044594,Cinnzeo
bar,49.1901246,-122.8044604,Kernels
bar,49.1901652,-122.8043739,Cupcakes
bar,49.1901667,-122.8042129,Jugo Juice
bar,49.2767582,-123.120146,Fayuca
bar,49.2761259,-123.120602,Lightshade
bar,49.219935,-122.6498708,Shooter's Tap House
bar,49.2800166,-123.119671,Hollywood North
bar,49.2098852,-123.0817139,Dogwood Lounge
bar,49.2829389,-123.115118,Railway Club
bar,49.3100753,-123.0825195,Green Leaf Brewing
bar,49.1636359,-122.891482,The Circle Bar and Grill
bar,49.1236207,-123.1834451,Catch Kitchen + Bar
bar,49.2885782,-123.1426441,Sylvia's Bar
bar,49.2790514,-123.123057,The Belmont Bar
bar,49.2837396,-123.1184966,Prohibition
bar,49.0224343,-122.3809138,Ravens Bar & Grill
bar,49.0224608,-122.3805333,Ravens Bar & Bistro
bar,49.1748746,-122.890693,The Attic
bar,49.227124,-123.0003251,Cupcakes
bar,49.056171,-122.3806171,Bar One
bar,49.2506841,-123.1012022,Portland Craft
bar,49.279512,-123.12044,Uva
bar,49.2874645,-123.129581,The Den
bar,49.283201,-123.1123664,Yagger's
bar,49.2828822,-123.103786,Shebeen Whiskey House
bar,49.2217846,-122.9306286,Perk And Puff Cafe
bar,49.2872658,-123.141527,Bayside Lounge
bar,49.2820708,-123.0709617,Resurrection Distillery and Lounge
bar,49.2529917,-122.7332067,Northpaw Tasting Room
bar,49.2511896,-122.732744,Tinhouse Tasting Lounge
bar,49.1362084,-123.0271058,Four Winds Tasting Room
bar,49.1185688,-122.6651089,Trading Post Brewery and Tasting Room
bar,49.1162645,-122.6634679,Five Roads Brewing
bar,49.0474734,-122.360602,Ravens Tasting Room
bar,49.0429142,-122.2816142,Field House Tasting Room
bar,49.163033,-122.6667471,Dead Frog Tasting Room
bar,49.2098846,-122.8633483,Central City Beer Store
bar,49.0470506,-122.2691498,Sneakers Sports Lounge
bar,49.3077475,-123.0712446,House of Funk Tasting Room
bar,49.2650269,-123.1011809,Steam Works
bar,49.1061326,-122.656578,Summit
bar,49.0902621,-122.6124961,Murrayville Town Pub
bar,49.2837876,-123.0641858,Parallel 49 Tasting Room & Beer Store
bar,49.2774219,-122.8097447,Mariner Tasting Room
bar,49.2655902,-123.1003893,The Whip
bar,49.1962403,-123.178308,Maple Leaf Lounge
bar,49.3170584,-123.0926407,Black Kettle Tasting Lounge
bar,49.3099735,-123.0339301,Bridge Brewing Tasting Room
bar,49.308336,-123.0727453,Beere Brewing Tasting Room
bar,49.2797823,-123.1225277,Granville Room
bar,49.2254886,-122.8859561,Another Beer Co Tasting Room
bar,49.2020351,-122.9274713,Steel & Oak Tasting Room
bar,49.2044231,-122.9059535,The Met
bar,49.2672724,-123.1042375,Electric Bicycle Brewing
bar,49.2561559,-122.9221406,Dageraad Tasting Room
bar,49.2776684,-123.125676,Cabana
bar,49.2823322,-123.134561,Score
bar,49.2220993,-122.9817263,Gal Chae Karaoke
bar,49.2786534,-122.8495118,Rocky Point Spirits
bar,49.2704065,-123.1345786,The Liberty Distillery
bar,49.2874249,-123.14131,Shamrock Bar & Grill
bar,49.2831604,-123.104026,The Diamond
bar,49.2807293,-123.132345,The Junction
bar,49.1340207,-122.3101942,"Big ""B"" Saloon"
bar,49.2802664,-123.109748,Devil's Elbow
bar,49.2769507,-123.1261599,Two Parrots
bar,49.2581178,-123.1009356,Uncle Abe's
bar,49.281603,-123.132897,1181
bar,49.2869241,-123.124392,Mansion Nightclub
bar,49.2812597,-123.053674,Blind Rabbit
bar,49.2797921,-123.0974402,The Emerald
bar,49.2796906,-123.11307,Ventura Room
bar,49.2603834,-123.096422,Biltmore Cabaret
bar,49.056369,-122.3832811,Old Abbey Ales
bar,49.1950633,-123.179939,
bar,49.2197859,-122.6015871,Silver Valley
bar,49.1185646,-122.6782226,Camp Beer
bar,49.1051981,-122.6524037,Farm Country Tasting Room
bar,49.2207369,-122.5911689,Maple Meadows Tasting Room
bar,49.2199788,-122.589564,Ridge Brewing
bar,49.2830338,-123.0998209,No. 5 Orange
bar,49.202401,-123.1442022,Milltown Bar & Grill
bar,49.2646995,-123.0994151,Main Street Tasting Lounge
bar,49.2842279,-123.1113795,Red Room
bar,49.2770411,-123.126633,Twelve West
bar,49.3793954,-123.0835597,
bar,49.2796198,-123.1013261,The Keefer
bar,49.2639071,-123.1055201,33 Brewing Experiment
bar,49.2639071,-123.1053136,33 Acres Brewing
bar,49.2683984,-123.0698801,Park Drive
bar,49.1122996,-122.7301013,Canadian Lounge
bar,49.3112298,-123.0780215,Streetcar Tasting Room
bar,49.2812751,-123.0551908,The Brighton
bar,49.2828092,-123.1092642,Pub 340
bar,49.0488518,-122.2892374,Vicinity Lounge
bar,49.2804447,-123.0976766,La Boqueria
bar,49.2852025,-123.120343,Grain Tasting Bar
bar,49.1784959,-123.1333516,Zodiac Karaoke and Pub | 酒吧 夜店 KTV
bar,49.1965991,-123.1276812,Curve Lounge
bar,49.1926913,-123.1815539,Plaza Premium Lounge
bar,49.2658067,-123.1005698,Brassneck Tasting Room
bar,49.2842911,-123.0673128,Slow Hand Tasting Room
bar,49.0491957,-122.3807688,Loudmouth Brewing
bar,49.2793791,-123.120222,Red Card Sports Bar + Eatery
bar,49.2825107,-123.1068062,Metropole
bar,49.2740458,-123.019672,Steamworks Tap Room & Cold Beer Sales
bar,49.2592073,-123.1389048,Caffe Barney
bar,49.0375904,-122.3349289,Signature Sports Bistro
bar,49.3095923,-123.07305,North Point Tasting Room
bar,49.2847445,-123.114506,One Under Vancouver
bar,49.2897968,-123.1212582,TAP shack Eatery
bar,49.2818962,-122.7963804,Urban Gate Bar and Grill
bar,49.1727356,-123.1351834,V+Club
bar,49.1974076,-123.1749146,Vino Volo
bar,49.2796989,-123.130399,Numbers
bar,49.1777166,-123.1305411,Monster L Karaoke
bar,49.2227248,-122.9834098,Mix-2 Karaoke
bar,49.1533353,-122.969164,Lucid Spirits
bar,49.1246708,-122.6868795,
bar,49.2786444,-122.8532554,The Bakery Tasting Room
bar,49.1935844,-123.127928,The Story Café
bar,49.276088,-123.1195743,Bartholomew
bistro,49.0488705,-122.2894714,The Polly Fox
nightclub,49.2753913,-123.1096402,Eng
nightclub,49.2745976,-123.122952,Bar None
nightclub,49.2801451,-123.131353,Kiss & Tell Lounge
nightclub,49.2793851,-123.129915,Celebrities
nightclub,49.2832641,-123.114728,
nightclub,49.2805575,-123.1207988,Bottleneck
nightclub,49.2773021,-123.1257098,Aura
nightclub,49.2784275,-123.122575,The Penthouse
nightclub,49.2785234,-123.1238494,Encore
nightclub,49.2826091,-123.1057991,The Bourbon
nightclub,49.2797578,-123.1219911,The Roxy Cabaret
nightclub,49.2805916,-123.1207429,Commodore Ballroom
nightclub,49.2723207,-123.1342258,Backstage Lounge
nightclub,49.051316,-122.3131173,Cloud Hookah Lounge
pub,49.2831924,-123.1090499,The Cambie
pub,49.2672519,-123.1033949,R & B Ale & Pizza House
pub,49.2785872,-122.851026,The Parkside Brewery
pub,49.2684891,-123.258088,Koerner's Pub
pub,49.2687109,-123.1186399,The Wicklow Pub
pub,49.2094419,-123.1161616,Dublin Crossing Irish Pub
pub,49.2866559,-123.127498,Shenanigans
pub,49.2329149,-123.0761197,East Side Craft House
pub,49.2617166,-123.1007734,The Cascade Room
pub,49.2842068,-123.1002041,Alibi Room
pub,49.2849397,-123.0649633,Princeton Pub
pub,49.1654069,-122.6633306,Browns Social House
pub,49.2225148,-122.6904636,Jolly Coachman Pub
pub,49.1711728,-122.577262,Fort Pub & Grill
pub,49.0450223,-122.6684393,The Artful Dodger Pub
pub,49.2714968,-123.1006411,Dubh Linn Gate
pub,49.103954,-122.734208,Clydesdale Coverdale
pub,49.2665769,-123.2501701,The Pit
pub,49.2898003,-123.116892,Tap & Barrel
pub,49.3742609,-123.2735244,Troller Ale House
pub,49.3172364,-123.1082535,Pemberton Station Neighbourhood Pub
pub,49.0905224,-123.072304,The Landing Pub & Grill
pub,49.19556,-123.1832043,Monk's Grill
pub,49.2841314,-123.1083829,Pourhouse
pub,49.0466407,-122.3687569,Red21
pub,49.2837114,-123.106243,The Lamplighter Public House
pub,49.2813339,-123.0454428,PressBox Pub
pub,49.2248337,-122.689108,Foamers' Folly Tap Room
pub,49.2803261,-123.1217022,Cinema Public House
pub,49.2514566,-122.9020031,Lougheed Village Bar & Grill
pub,49.2855675,-123.1165611,Moose's Down Under
pub,49.2802411,-123.125061,Relish
pub,49.2800328,-123.114684,Library Square Public House
pub,49.0316321,-122.8008429,Sawbuck's Neighbourhood Pub
pub,49.2768995,-123.126856,The Morrissey
pub,49.2824055,-123.1111441,The Magnet
pub,49.2726319,-123.148749,Corduroy
pub,49.0294267,-122.8019172,White Rock Beach Beer
pub,49.2759064,-123.1278016,Yale Hotel
pub,49.2640449,-123.1567706,The Regal Beagle
pub,49.104928,-122.658331,Baselines Pub
pub,49.278541,-122.8484018,Twin Sails Brewery
pub,49.2869412,-123.1148363,Lions Pub
pub,49.2848692,-123.110987,Steamworks
pub,49.316484,-122.9533431,Raven Pub
pub,49.2694368,-123.103525,Brewhall
pub,49.1768204,-122.8878011,Donegal's Irish House
