amenity,lat,lon,name
theatre,49.2805037,-123.1068723,Cineplex Odeon International Village Cinemas
theatre,49.1165969,-122.8220789,Bell Performing Arts Centre
theatre,49.2800554,-123.1164214,The Centre For Performing Arts
theatre,49.2600139,-123.1153253,"Yuck, Yucks Comedy Club"
theatre,49.2672532,-123.2503018,The Norm Theatre
theatre,49.1624436,-122.8414863,Surrey Arts Centre - Main Stage
theatre,49.2785849,-123.0706042,York Theatre
theatre,49.2701092,-123.1081218,BMO Theatre Centre
theatre,49.2249319,-123.1086853,Studio 58
theatre,49.2037107,-123.1375228,Metro Theatre
theatre,49.0298938,-122.800849,Coast Capital Playhouse
theatre,49.3378962,-123.1600566,Kay Meek Centre for the Performing Arts
theatre,49.2911911,-123.130162,PAL Studio Theatre
theatre,49.0855866,-123.0848311,Genesis Theater
theatre,49.034793,-122.0038093,Maple Bay Amphitheatre
theatre,49.0962045,-122.0442581,
theatre,49.2455783,-123.1854475,Dunbar Theatre
theatre,49.0053233,-122.2657478,Gallery 7 Theatre
theatre,49.044502,-122.2993636,
theatre,49.2812652,-123.0859633,Red Gate Collective
theatre,49.143419,-122.2903467,Clark Foundation Theatre
theatre,49.3161036,-123.0202569,Blueshore Financial Centre for the Performing Arts
theatre,49.273765,-123.0752492,Electric Company Theatre
theatre,49.2477176,-123.23027,Auditorium
theatre,49.2631799,-122.7480095,Terry Fox Theatre
theatre,49.3269402,-122.9501617,Deep Cove Shaw Theatre
theatre,49.3271158,-122.9500344,
theatre,49.2804032,-123.121024,The Orpheum
theatre,49.1676179,-122.5874561,Chief Sepass Theater
theatre,49.2820693,-123.0979109,Firehall Arts Centre
theatre,49.2806911,-123.112557,Vancouver Playhouse
theatre,49.2803131,-123.113161,Queen Elizabeth Theatre
theatre,49.2689073,-123.1319354,The “Little” Amphitheatre
theatre,49.2685914,-123.1309399,
theatre,49.1340436,-122.304174,Opening Nite Theatre
theatre,49.2707965,-123.1362969,The Improv Center
theatre,49.2782044,-123.113409,Frankie's Jazz Club
theatre,49.2799331,-123.120567,The Orpheum
theatre,49.2811013,-123.098369,The Rickshaw
theatre,49.260671,-123.136489,Pacific Theatre
theatre,49.2797453,-122.9168914,Images Theatre
theatre,49.2766458,-123.1421577,Bard On The Beach (Summer Only)
theatre,49.2341394,-123.0385563,Green Thumb Theatre
theatre,49.0475966,-122.2919218,Yuk Yuk's
theatre,49.2643349,-123.1745647,Hollywood Theatre
theatre,49.2704435,-123.135278,Carousel Theatre
theatre,49.1300295,-122.7127269,Surrey Little Theatre
theatre,49.1060841,-122.6523429,Theatre in the Country
theatre,49.21633,-122.9846623,Michael J. Fox Theatre
cinema,49.2819978,-123.124346,Scotiabank Theatre Vancouver
cinema,49.03348,-122.8007654,Rialto White Rock
cinema,49.2098186,-123.1157123,Cineplex Cinemas Marine Gateway and VIP
cinema,49.2196926,-122.6716382,Cineplex
cinema,49.3253576,-123.1381996,Cineplex Cinemas & VIP
cinema,49.2770164,-123.1248993,Vancouver International Film Centre
cinema,49.2545,-123.1149458,The Park Theatre
cinema,49.0582354,-122.378087,Cineplex Cinemas Abbotsford and VIP
cinema,49.2891958,-123.110351,FlyOver Canada
cinema,49.2786691,-123.12646,The Cinematheque
cinema,49.2005685,-122.9136462,Landmark Cinemas
cinema,49.2673014,-123.0020635,Cineplex
cinema,49.0450015,-122.7945506,Caprice White Rock
