amenity,lat,lon,name
marketplace,49.0660353,-122.324949,Abbotsford Flea Market
marketplace,49.2868119,-123.1279618,CB2
marketplace,49.3262061,-123.1510002,Ambleside Artisan Farmers Market
marketplace,49.2737748,-123.0987118,Main St. Station Farmers Market
marketplace,49.250765,-123.2379433,UBC Farm Market
marketplace,49.1121833,-122.7335488,The Cloverdale Market
marketplace,49.2830332,-122.8260224,Olive The Best
marketplace,49.2434955,-122.973016,Burnaby Artisan Farmers' Market
marketplace,49.3102032,-123.0796271,Shipyards Christmas Market
marketplace,49.0478642,-122.29258,Abbotsford Farm & Country Market
marketplace,49.2579975,-123.0611751,Trout Lake Farmer's Market
marketplace,49.2429015,-123.1048776,Riley Park Farmers Market
marketplace,49.2799433,-123.1137757,Downtown Farmers Market
marketplace,49.2621368,-123.1615562,Kitsilano Farmers Market
marketplace,49.2639793,-123.0949276,Mount Pleasant Farmers Market
marketplace,49.2826727,-123.13042,West End Farmers Market
marketplace,49.2830614,-123.0423499,Vancouver Farmers Market
